Date,Return
2019-06-30,0.0085
2019-07-31,-0.0154
2019-08-31,-0.0289
2019-09-30,-0.0367
2019-10-31,0.028
2019-11-30,0.0298
2019-12-31,0.0172
2020-01-31,-0.0079
2020-02-29,0.0166
2020-03-31,-0.0632
2020-04-30,0.0314
2020-05-31,0.0349
2020-06-30,0.0028
2020-07-31,-0.0025
2020-08-31,0.0143
2020-09-30,0.0098
2020-10-31,-0.0124
2020-11-30,0.0195
2020-12-31,0.0357
2021-01-31,0.065
2021-02-28,0.0789
2021-03-31,0.008
2021-04-30,0.0123
2021-05-31,-0.0208
2021-06-30,0.0027
2021-07-31,0.0153
2021-08-31,0.0269
2021-09-30,0.0247
2021-10-31,0.0313
2021-11-30,0.0068
2021-12-31,0.026
2022-01-31,-0.0354
2022-02-28,0.0056
2022-03-31,0.0006
2022-04-30,-0.0201
2022-05-31,0.0001
2022-06-30,0.0196
2022-07-31,0.0173
2022-08-31,0.0137
2022-09-30,-0.0102
2022-10-31,0.0062
2022-11-30,0.0169
2022-12-31,0.0204
2023-01-31,-0.0116
2023-02-28,0.0005
2023-03-31,-0.0266
2023-04-30,0.0232
2023-05-31,0.0267
2023-06-30,0.0149
2023-07-31,0.0006
2023-08-31,-0.0014
2023-09-30,-0.0011
2023-10-31,-0.0008
2023-11-30,0.0163
2023-12-31,0.0282
2024-01-31,0.0322
2024-02-29,0.005
2024-03-31,0.0202
2024-04-30,0.0032
2024-05-31,-0.0142
2024-06-30,0.0233
2024-07-31,0.0
2024-08-31,0.0266
2024-09-30,0.0087
2024-10-31,0.0481
2024-11-30,-0.0003
2024-12-31,-0.014
2025-01-31,0.019
2025-02-28,-0.0003
2025-03-31,-0.0134
2025-04-30,0.0064
2025-05-31,-0.0151
2025-06-30,0.0018
2025-07-31,0.0053
2025-08-31,0.0439
2025-09-30,0.0246
2025-10-31,0.0187
2025-11-30,0.0344
2025-12-31,-0.0088
2026-01-31,-0.012
